Date,AMBUJACEM.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BHARTIARTL.NS,BPCL.NS,CIPLA.NS,DRREDDY.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,IDEA.NS,ITC.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,SHREECEM.NS,SUNPHARMA.NS,TATAPOWER.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,ULTRACEMCO.NS,VEDL.NS,WIPRO.NS
1/1/2020,197,748.7000122,3150.100098,453.2999878,491.6499939,475.8999939,2879.399902,1278.599976,2432.550049,214.3000031,1936.550049,536.75,6.099999905,238.1000061,7311.700195,14779.0498,121.5500031,127.4499969,146.6250305,20319.90039,434.2999878,57.59999847,46.77500153,2167.600098,762.0999756,4065,154.6000061,247.6999969
1/2/2020,205.3500061,756.9500122,3121,455.2000122,487.5499878,473.5,2864.899902,1286.75,2429.449951,220.1499939,1938.050049,540.5999756,6.099999905,239.8500061,7329.850098,14729.34961,121.4000015,128.0500031,146.3250427,21232.15039,434.9500122,58,48.48500061,2157.649902,766.0499878,4244.799805,159.4499969,248.3000031
1/3/2020,203.3999939,742.9500122,3072.050049,455.1000061,483.5,469.9500122,2883.899902,1268.400024,2432.350098,216.4499969,1927.449951,538.8499756,6.099999905,238.5,7254.25,14593.59961,119.3499985,128.4499969,144.7500305,21122.25,444.6000061,57.75,48.36999893,2200.649902,775.0999756,4219.200195,157.75,251.1000061
1/6/2020,196.8999939,723.25,3037.649902,449.6499939,469.1499939,466.75,2878.850098,1240.949951,2368.149902,209.3000031,1915.449951,525.7000122,6,235.1000061,7042.399902,14416.65039,118.9000015,126.25,144.8250427,21064.40039,439.9500122,56.75,47.32500076,2200.449951,770.4000244,4157.100098,150.5500031,252.1499939
1/7/2020,199,725.75,3037.949951,445.1000061,461,468.6000061,2884.199951,1260.599976,2348.050049,208.8500061,1920.699951,522.9000244,6,235.3500061,7073.600098,14290.75,120.5500031,125.75,143.7750397,21963.15039,446.3999939,56.59999847,47.61000061,2205.850098,777.0999756,4242.100098,156,255.1999969
1/8/2020,201.6499939,724.5,3059.25,458.8500061,459.8999939,464.75,2897.25,1257.300049,2317.550049,207.3999939,1929.349976,525.9500122,6.5,234.1999969,7035.200195,14391.25,119.9499969,123.4499969,142.9125366,22441.30078,440.1000061,56.25,47.52500153,2255.25,769.7999878,4318.950195,157.3500061,254.8000031
1/9/2020,207.9499969,742.8499756,3085.699951,460.1000061,470.5499878,470.1000061,2920.5,1271.400024,2354.550049,210.75,1935.050049,546.2999878,6.25,235.8000031,7227.899902,14643.4502,119.3499985,123.6999969,144.7125397,22814.55078,439.8500061,57.79999924,48.31499863,2214.350098,773.6500244,4388,158.1499939,253.6499939
1/10/2020,211.75,740.0499878,3101.199951,457,470.25,473.5,2933,1282.699951,2363.449951,211.5,1954,540.25,6.099999905,238,7330.5,14685.84961,120.3000031,124.1500015,144.1125336,23345.40039,443.6000061,58.95000076,48.61999893,2213.550049,776.25,4444.600098,159.9499969,251.75
1/13/2020,211.5,737.4000244,3094.050049,468.8999939,470.75,477.6499939,2954.699951,1286,2366.75,211.1999969,1994.849976,538.5999756,6.150000095,239.25,7352.700195,14658.25,121.75,125.4499969,146.1000366,23829.19922,444.6000061,59.40000153,49.57500076,2190.350098,785.8499756,4468.700195,160.4499969,254.8000031
1/14/2020,209.3000031,747.9000244,3101.600098,469.3500061,473.3500061,484.25,2947.800049,1289.5,2411.399902,211.9499969,2008.800049,537.5999756,6.099999905,243.25,7386.799805,14868.59961,123.5,125.0500031,146.4375305,23560,446,60.20000076,49.86000061,2206.899902,796.25,4483.299805,165,257.2000122
