Date,Cement,Banking and Finance,Automobile,Telecommunications,Energy,Pharmaceuticals,Pharmaceuticals,Banking and Finance,Automobile,Metals and Mining,Consumer Goods,Banking and Finance,Telecommunications,Consumer Goods,Automobile,Consumer Goods,Utilities,Energy,Utilities,Cement,Pharmaceuticals,Utilities,Metals and Mining,,Information Technology,Cement,Metals and Mining,Information Technology
1/3/2020,-76.74221725,64.65580408,-6.211581011,4.49082245,252.6172746,60.18077605,15.34211645,76.88213094,-0.406805072,-43.18306097,141.0500923,-6.52297792,15.29995672,10.4903154,-7.274357287,-13.26220834,-15.32803996,559.2988046,29.69100191,-40.06228766,107.591419,-19.73442722,-40.22197779,95.5584202,87.18363141,-56.38957765,-29.34554922,134.1747659
1/6/2020,5.564268045,-25.1307315,-16.15725258,46.25641899,-32.32280493,-33.33243073,3.788753561,0.319062599,14.67634748,-9.925766694,-57.2730599,30.63823844,-14.68503453,-17.7485584,30.86699058,62.84,-10.76863374,-53.44020194,-0.040480541,34.97611925,-49.29859641,-60.66354105,-25.89558136,-35.06520202,-18.25254607,-27.2243126,-7.352836852,35.0532205
1/7/2020,67.82132583,43.22020806,-36.60366433,-42.24787874,52.97168119,57.5088141,-0.028512566,35.20883849,-0.636821336,63.71100288,18.41614102,28.46183132,29.40585255,10.21557059,-21.11057078,10.90180545,35.82170618,-50.76857458,90.66159555,226.1811253,-6.065582284,3.672559539,37.43310495,-19.64442419,11.68700658,13.29419822,117.6609137,-3.589204009
1/8/2020,38.96262122,-1.429636969,74.5245749,224.2810237,5.493543523,-36.28232541,-21.98107009,-23.03905316,-3.996217095,-2.330247833,133.6015873,-0.046733804,286.6323596,-16.31902419,34.34597798,-45.33549289,-28.8758454,-13.30559643,-32.60160125,-18.33245911,-13.81335557,-22.54063446,0.826422795,113.94713,34.04606681,96.8579558,-25.89321702,-36.53088373
1/9/2020,12.02722697,-15.75089865,-15.39198301,28.77045577,-47.4628296,12.82605176,34.57528591,-15.7587069,22.86220617,-30.42367182,-18.27558561,17.64417984,16.60121331,34.20942522,0.614007334,41.07576985,30.3944822,62.51932269,-18.37650508,-41.24310279,1.356236788,104.0634219,-23.85364094,-28.15380377,-35.34431101,-32.34034185,-35.20276866,-10.71378216
1/10/2020,-3.167583985,13.10391882,36.64906059,107.4981682,-33.00800842,-28.63695166,200.1755012,-3.475015912,-21.01145312,-10.09795181,-35.03115259,-34.85056184,-74.37172921,5.512664011,-6.30644062,-29.50025131,-32.74855779,-35.37042908,-46.61417688,2.996124416,10.15225059,68.27245708,57.21444116,-48.69528005,-34.13955998,5.363179364,79.06458188,-17.57282398
1/13/2020,-50.97735872,-24.87263303,-65.94166753,-59.69188058,-15.72785571,1.348796968,-60.79801481,-19.1328525,-24.9398655,-15.19769141,103.3305892,-35.94212173,37.92244737,22.75868064,-28.14051537,-31.27769007,-36.75562922,-12.41227391,572.1307591,33.27463939,11.29057527,-47.31188166,-31.29707777,48.44360627,26.02672455,-45.10882785,-55.55556826,238.6014236
1/14/2020,41.69880718,12.67026248,79.70747066,-45.82162026,-1.664050903,75.63865431,-19.16743613,5.833966757,81.38841597,20.66403181,-21.04574849,76.40841327,-46.35614692,-3.268595227,2.069784276,86.65431641,144.2254548,116.7004666,-78.34630207,-58.70631459,-43.8442136,4.865230141,43.11596262,3.676615119,16.86576836,8.593914398,111.4141126,4.784566142
1/15/2020,-9.803388342,9.312340375,98.75957693,32.00555384,37.96466426,-34.56152638,7.754570653,49.46759503,33.53405136,19.8340113,-3.181524979,-11.3796824,68.38447431,-53.75729391,26.2895563,-17.68629164,-24.25684327,-54.034917,18.68895327,5.430399719,12.75638349,-0.555349351,-22.62252901,-11.1167148,8.050732714,-4.953140424,-41.03029026,38.9716446
1/16/2020,-6.959427424,-17.99935563,-48.05884255,49.79498988,-36.01628601,19.85643022,-0.365061177,-39.33886283,-43.8583292,-26.95891918,58.31819485,-8.936519645,61.2904415,71.08146122,-7.581496869,390.0356902,34.69134507,28.14300318,20.2085405,145.8199958,44.6186725,150.5135515,-13.86025918,18.94671652,-36.91860399,12.24587695,3.071869941,-13.10212928
