date,AMBUJACEM.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BHARTIARTL.NS,BPCL.NS,CIPLA.NS,DRREDDY.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,IDEA.NS,ITC.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,SHREECEM.NS,SUNPHARMA.NS,TATAPOWER.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,ULTRACEMCO.NS,VEDL.NS,WIPRO.NS
1/1/2020,1459556,4917748,320021,5059995,2383296,1316812,154779,1836849,314519,5085208,543035,7642793,55777825,4208837,634725,23859,9953746,2574894,10215280,4879,2321850,3878107,121005300,1354908,746371,163949,14266524,1413866
1/2/2020,8633553,5156046,452413,4842142,3212483,1406381,298831,3068583,546945,15238841,663275,10264223,67004549,8402979,616838,46116,8731299,4759843,4255269,31788,4555670,12142359,216749610,2380752,1133488,1458328,17137897,1443966
1/3/2020,2007973,8489729,424311,5059594,11327770,2252752,344678,5427775,544720,8658243,1598825,9594690,77256216,9284478,571967,40000,7392962,31381588,5518701,19053,9457180,9746134,129568630,4655761,2121704,635983,12108687,3381404
1/6/2020,2119702,6356198,355754,7399981,7666317,1501855,357737,5445093,624665,7798846,683129,12534334,65911114,7636617,748516,65136,6596841,14611204,5516467,25717,4794923,3833784,96016080,3023209,1734439,462841,11218355,4566695
1/7/2020,3557312,9103360,225535,4273646,11727294,2365554,357635,7362247,620687,12767569,808935,16101835,85292839,8416741,590500,72237,8959942,7193304,10517784,83884,4504083,3974582,131957880,2429317,1937143,524372,24417974,4402787
1/8/2020,4943334,8973215,393614,13858623,12371538,1507276,279023,5666055,595883,12470053,1889685,16094310,329769716,7043211,793313,39488,6372683,6236192,7088818,68506,3881918,3078686,133048410,5197454,2596664,1032268,18095375,2794410
1/9/2020,5537880,7559853,333029,17845812,6499656,1700600,375496,4773158,732115,8676205,1544334,18934019,384515490,9452653,798184,55708,8309627,10135017,5786141,40252,3934566,6282472,101311520,3734173,1678891,698429,11725302,2495023
1/10/2020,5362463,8550490,455081,37029733,4354249,1213600,1127147,4607290,578287,7800086,1003336,12335407,98544671,9973746,747847,39274,5588344,6550218,3088979,41458,4334013,10571670,159276340,1915807,1105725,735887,20995863,2056577
1/13/2020,2628821,6423758,154993,14925989,3669419,1229969,441864,3725784,434063,6614653,2040089,7901800,135915222,12243639,537399,26990,3534313,5737187,20761978,55253,4823348,5570014,109427500,2843893,1393509,403937,9331492,6963599
1/14/2020,3725008,7237665,278534,8086659,3608358,2160301,357170,3943145,787340,7981507,1610737,13939440,72910162,11843444,548522,50378,8631692,12432511,4495736,22816,2708589,5841008,156608220,2948452,1628535,438651,19728091,7296777
1/15/2020,3359831,7911661,553613,10674839,4978259,1413668,384867,5893724,1051367,9564560,1559491,12353176,122769393,5476729,692726,41468,6537916,5714614,5335942,24055,3054107,5808570,121179480,2620681,1759644,416924,11633598,10140451
1/16/2020,3126006,6487613,287553,15990374,3185275,1694372,383462,3575200,590255,6986058,2468958,11249232,198015296,9369668,640207,203208,8806007,7322878,6414258,59132,4416809,14551255,104383690,3117214,1110008,467980,11990967,8811836
1/17/2020,1968147,7678864,272072,60774623,5566299,2039387,1117117,8459407,457663,8678002,994719,18312609,534870,7392403,750738,96399,6811534,8561603,3523789,32537,3216737,6414265,56824600,3281059,989312,360682,9518702,4140818
1/20/2020,1743715,10677371,365554,44464024,5840651,1206931,874713,11089225,320280,3977566,829399,19159996,323839417,8020816,407828,68770,10655638,16106541,37003370,26423,2824739,8384043,72918780,5817599,1620105,204026,7944434,1908583
1/21/2020,3142796,8242803,215722,64001338,4199420,1448808,570786,7492402,568473,4479791,750000,13477994,640960977,9571070,442561,63258,5150830,6497799,12962932,29652,2573651,6250007,113158030,1902980,976954,283173,10481008,1507942
1/22/2020,3780055,13321307,269339,19911947,3730432,2380518,559798,9184155,346888,6268889,983169,17527408,300874524,7654918,1048435,55627,19388739,23639592,42590290,28102,3412716,8871316,76621710,1773686,1192201,359444,15503961,3400424
1/23/2020,4656562,20643257,256329,15482185,5565676,5783749,426168,5754460,315469,5560681,708017,17061293,346152243,6120434,589326,42861,22793170,21105999,169544445,15181,1875787,8476777,72000200,2069866,2018777,401079,12087029,1696544
1/24/2020,3540793,9541490,209961,23385562,3935630,2713370,272729,5915878,519690,5749852,914993,17851868,158798220,6801874,645723,50632,9898052,11172364,12113759,31218,2153164,6085340,74811300,1319430,2364265,2127667,8012015,1710777
